title;year;runtime;genres;director;actors;plot;country;imdbRating
Terminator 2: Judgment Day;1991;137;Action@Sci-Fi;James Cameron;Arnold Schwarzenegger@Linda Hamilton@Edward Furlong@Robert Patrick;A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.;USA;8.5
Cargo 200;2007;89;Drama@Thriller;Aleksey Balabanov;Agniya Kuznetsova@Aleksey Poluyan@Leonid Gromov@Aleksey Serebryakov;A young woman is taken hostage by a police officer gone mad.;Russia;7.1
The Green Mile;1999;189;Crime@Drama@Fantasy@Mystery;Frank Darabont;Tom Hanks@David Morse@Bonnie Hunt@Michael Clarke Duncan;The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.;USA;8.6
Pulp Fiction;1994;154;Crime@Drama;Quentin Tarantino;Tim Roth@Amanda Plummer@Laura Lovelace@John Travolta;The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.;USA;8.9
Oldboy;2003;120;Action@Drama@Mystery@Thriller;Chan-wook Park;Choi Min-sik@Yoo Ji-Tae@Hye-jeong Kang@Kim Byeong-Ok;After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.;South Korea;8.4
New Kids Turbo;2010;84;Action@Comedy;Steffen Haars, Flip Van der Kuil;Huub Smit@Tim Haars@Wesley van Gaalen@Steffen Haars;Five friends from 'Maaskantje' are getting fired because of the economic crisis. They decide that they won't pay for anything anymore.;Netherlands;6.4
American Psycho;2000;101;Comedy@Crime@Drama;Mary Harron;Christian Bale@Justin Theroux@Josh Lucas@Bill Sage;A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.;USA;7.6
Inception;2010;148;Action@Adventure@Sci-Fi@Thriller;Christopher Nolan;Leonardo DiCaprio@Joseph Gordon-Levitt@Elliot Page@Tom Hardy;A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.;USA;8.8
Captain America: The First Avenger;2011;124;Action@Adventure@Sci-Fi;Joe Johnston;Chris Evans@Hayley Atwell@Sebastian Stan@Tommy Lee Jones;Steve Rogers, a rejected military soldier, transforms into Captain America after taking a dose of a "Super-Soldier serum". But being Captain America comes at a price as he attempts to take down a war monger and a terrorist organization.;USA;6.9
Star Wars: Episode I - The Phantom Menace;1999;136;Action@Adventure@Fantasy@Sci-Fi;George Lucas;Liam Neeson@Ewan McGregor@Natalie Portman@Jake Lloyd;Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to claim their original glory.;USA;6.5
City of God;2002;130;Crime@Drama;Fernando Meirelles, Kátia Lund(co-director);Alexandre Rodrigues@Leandro Firmino@Phellipe Haagensen@Douglas Silva;In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.;Brazil;8.6
Blade Runner;1982;117;Action@Sci-Fi@Thriller;Ridley Scott;Harrison Ford@Rutger Hauer@Sean Young@Edward James Olmos;A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.;USA;8.1
Trainspotting;1996;93;Drama;Danny Boyle;Ewan McGregor@Ewen Bremner@Jonny Lee Miller@Kevin McKidd;Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.;UK;8.1
Batman v Superman: Dawn of Justice;2016;152;Action@Adventure@Sci-Fi;Zack Snyder;Ben Affleck@Henry Cavill@Amy Adams@Jesse Eisenberg;Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.;USA;6.4
The Social Network;2010;120;Biography@Drama;David Fincher;Jesse Eisenberg@Rooney Mara@Bryan Barter@Dustin Fitzsimons;As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea, and by the co-founder who was later squeezed out of the business.;USA;7.7
Fargo;1996;98;Crime@Drama@Thriller;Joel Coen, Ethan Coen;William H. Macy@Steve Buscemi@Peter Stormare@Kristin Rudrüd;Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.;USA;8.1
Shrek;2001;90;Animation@Comedy@Fantasy@Family@Adventure;Andrew Adamson, Vicky Jenson;Mike Myers@Eddie Murphy@Cameron Diaz@John Lithgow;A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.;USA;7.8
Inside Out;2015;95;Animation@Comedy@Fantasy@Family@Drama@Adventure;Pete Docter, Ronnie Del Carmen(co-director);Amy Poehler@Phyllis Smith@Richard Kind@Bill Hader;After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.;USA;8.1
Apocalypse Now;1979;147;Drama@Mystery@War;Francis Ford Coppola;Marlon Brando@Martin Sheen@Robert Duvall@Frederic Forrest;A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.;USA;8.4
Full Metal Jacket;1987;116;Drama@War;Stanley Kubrick;Matthew Modine@Adam Baldwin@Vincent D'Onofrio@R. Lee Ermey;A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.;UK;8.3
Edge of Tomorrow;2014;113;Action@Adventure@Sci-Fi;Doug Liman;Tom Cruise@Emily Blunt@Brendan Gleeson@Bill Paxton;A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies.;USA;7.9
Ted;2012;106;Comedy;Seth MacFarlane;Mark Wahlberg@Mila Kunis@Seth MacFarlane@Joel McHale;John Bennett, a man whose childhood wish of bringing his teddy bear to life came true, now must decide between keeping the relationship with the bear, Ted or his girlfriend, Lori.;USA;6.9
Rocky;1976;120;Drama@Sport;John G. Avildsen;Sylvester Stallone@Talia Shire@Burt Young@Carl Weathers;A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect.;USA;8.1
Pirates of the Caribbean: On Stranger Tides;2011;136;Action@Adventure@Fantasy;Rob Marshall;Johnny Depp@Penélope Cruz@Geoffrey Rush@Ian McShane;Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too.;USA;6.6
